track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu,depth_pw,dt,gfs_f024_kt
651,2021-10-01 00,48.0,192.75,24.0,1,1,15.6,330.0,4.611,34.2,67.0,995.8,1026.6701916421414,30.91121947417264,1001.8282670786245,6.069294910655799,135.07861328125,-22.401938359549977,5641.8681640625,722.9761618235481,358.5257731222614,-326.00634765625,2.3801631927490234,11.238671875000023,-412.9664001464844,-184.4578094482422,20.73,2021-10-01 00,74.8
682,2021-10-17 12,36.25,167.0,nan,0,0,13.7,260.0,5.033,36.4,41.7,1004.2,1018.8530251600638,14.671018324126294,1016.6778770029287,12.495870166991153,162.67724609375,54.398977418362435,5794.541015625,1997.2872811759999,316.8199259277648,-357.22265625,6.54019021987915,23.339410400390648,14.813401222229004,-49.039669036865234,14.12,2021-10-17 12,42.3
700,2021-10-21 12,54.75,183.75,12.0,1,1,41.4,500.0,8.605,57.7,67.6,956.4,1014.3204239741108,57.91557778270453,989.0361966306184,32.631350439212156,124.71435546875,-82.41025916045028,5505.3779296875,792.5337960346583,305.0426436008035,-406.873046875,4.0457024574279785,6.079827880859398,159.85890197753906,-645.5149536132812,34.09,2021-10-21 12,59.9
698,2021-10-21 12,43.5,157.5,nan,0,0,12.8,320.0,3.93,31.2,37.8,1001.3,1021.763504446111,20.48848003204853,984.214669117612,-17.060355296450552,-1.87744140625,130.80284900472762,5507.5322265625,1082.0881825557856,264.06002368244526,-245.09375,8.179475784301758,13.078790283203148,-257.20611572265625,-616.0562133789062,12.83,2021-10-21 12,52.8
706,2021-10-23 12,41.0,159.75,18.0,1,1,24.8,530.0,4.858,42.8,55.3,989.0,1027.1753350461888,38.20994197978257,1001.5625927968313,12.597199730425018,136.90185546875,135.31413386777345,5693.626953125,941.6266950660296,256.1518918104761,-268.66015625,8.552903175354004,17.480187988281273,-265.203369140625,-623.3265380859375,18.72,2021-10-23 12,57.0
722,2021-10-30 00,51.0,201.0,nan,0,0,33.1,790.0,5.321,46.4,57.6,972.9,1022.2198027971324,49.36048883228864,990.7904247505543,17.93111078571053,21.1123046875,-13.222942415946566,5431.955078125,616.0224344065829,186.5275032927452,-374.89404296875,1.809134840965271,6.877557373046898,243.53997802734375,-202.46563720703125,24.75,2021-10-30 00,48.0
737,2021-11-03 06,37.5,150.75,24.0,1,1,19.8,520.0,3.978,38.1,54.3,994.4,1018.2341875111139,23.851191905645123,1002.3907140286785,8.00771842320978,92.79541015625,54.888235147773486,5656.25048828125,1534.4892165597612,252.76244440393032,-137.494140625,12.40890121459961,21.142297363281273,203.6675262451172,-347.53076171875,19.04,2021-11-03 06,52.4
746,2021-11-07 00,40.0,177.25,nan,0,0,7.6,310.0,2.488,22.9,47.9,1006.0,1023.5250415492551,17.508684127380093,1011.5065416096197,5.490184187744717,176.6103515625,150.80603852119657,5677.82470703125,1118.323728259098,288.40490855055117,-146.99365234375,8.618917465209961,18.604241943359398,-296.314453125,-327.85809326171875,10.91,2021-11-07 00,27.7
782,2021-11-17 00,46.0,180.0,nan,0,0,13.8,280.0,4.951,34.6,39.9,1001.0,1019.1364774970386,18.11828902047614,1009.374351767841,8.356163291278449,110.056640625,19.39534951870458,5493.27294921875,1997.3274601636526,274.7025842059719,-289.37744140625,4.821704387664795,8.442132568359398,-45.0671501159668,-244.26107788085938,15.7,2021-11-17 00,29.7
792,2021-11-20 06,35.0,161.5,30.0,0,1,10.6,350.0,2.942,28.2,44.3,1003.0,1021.913774867329,18.88893355873529,1012.4465160754993,9.42167476690554,122.96044921875,-40.60935950195474,5673.283203125,1691.6374703883698,337.3755021965598,-351.6748046875,4.531711578369141,22.314355468750023,-49.77130126953125,-353.0067443847656,12.4,2021-11-20 06,59.5
796,2021-11-21 18,45.5,218.25,18.0,1,1,13.3,440.0,3.004,27.4,56.0,1002.4,1022.2105045666176,19.83971599239885,1015.2075105362989,12.836721962080105,185.84423828125,192.03228201449417,5564.91943359375,1465.5231264989977,267.8211860317014,-211.3037109375,3.353870153427124,10.524987792968773,-316.636474609375,-428.2821350097656,18.01,2021-11-21 18,34.8
791,2021-11-21 18,50.0,161.25,nan,0,0,20.7,730.0,3.498,32.9,47.8,992.6,1035.1082654399809,42.47069219779337,975.2133702944268,-17.424202947760705,-72.94287109375,47.626310462598916,5243.921875,202.09677518955831,195.40183799905023,-257.62841796875,5.2769622802734375,6.264154052734398,75.994384765625,-85.81546020507812,16.2,2021-11-21 18,33.2
800,2021-11-25 06,50.75,155.0,nan,0,0,15.3,530.0,3.142,28.2,47.2,992.3,1022.890014935091,30.639221478059767,992.5812269332976,0.3304334762663075,-43.69970703125,-28.239294833836375,5277.81005859375,1217.4572819356658,247.81069381997676,-399.23291015625,4.880423545837402,4.679193115234398,138.20396423339844,-72.65076446533203,17.01,2021-11-25 06,39.8
822,2021-12-01 06,55.75,179.0,nan,0,0,18.7,400.0,4.582,34.1,57.4,1000.4,1030.151373314174,29.753302025111452,981.1309891120969,-19.267082176965573,-46.00537109375,-225.0047795014996,5204.7431640625,1719.4667931721149,299.9139480306282,-127.697265625,2.02569842338562,4.096704101562523,-3.4411652088165283,-229.46592712402344,21.26,2021-12-01 06,32.6
