fhr,valid,lat,lon,mslp_hpa,hvtl,hvtu,hb,idx,class,hvtl_hart,hvtu_hart,hb_track,motion_kt,heading_deg,steering_heading_deg,steering_kt,hb_hart
0,2026-09-24T18:00Z,62.47,-21.41,959.6,135.9,-163.1,17.3,0.83,3,130.4,-117.2,20.7,16.3,18.8,41.3,13.9,14.6
6,2026-09-25T00:00Z,64.01,-20.25,964.0,81.8,-45.4,29.1,0.92,3,94.3,-17.6,29.9,20.8,25.9,32.6,8.3,21.0
12,2026-09-25T06:00Z,66.20,-17.22,967.7,255.3,-33.7,17.9,1.65,3,180.4,-1.7,28.0,17.8,30.6,346.6,8.0,19.8
18,2026-09-25T12:00Z,67.08,-15.86,970.7,260.7,-11.8,11.8,1.86,3,198.1,-2.2,17.4,4.0,9.3,342.7,7.9,10.2
24,2026-09-25T18:00Z,66.98,-16.90,973.6,254.4,-12.6,,1.85,,199.9,2.2,-10.6,2.8,251.7,337.1,2.0,-7.8
30,2026-09-26T00:00Z,66.90,-17.22,976.4,241.5,22.0,,2.18,,189.2,35.4,-16.7,2.4,192.4,207.1,0.9,-10.6
36,2026-09-26T06:00Z,66.52,-17.16,980.2,208.8,-52.6,,1.46,,158.0,-41.2,14.6,3.9,48.1,127.0,2.3,13.5
42,2026-09-26T12:00Z,67.42,-15.74,982.8,175.4,-60.9,,1.34,,104.2,-60.3,19.3,2.5,41.2,349.6,0.9,17.4
48,2026-09-26T18:00Z,66.90,-16.32,985.0,127.4,-135.4,,0.83,,41.4,-117.8,3.4,2.3,104.6,14.4,2.1,6.9
54,2026-09-27T00:00Z,67.30,-14.60,987.0,49.5,-159.2,24.5,-0.01,3,-24.9,-139.3,11.3,0.5,105.4,1.3,5.9,11.2
60,2026-09-27T06:00Z,66.88,-16.09,986.8,164.9,-141.0,24.3,0.96,,45.7,-147.2,-23.8,6.7,242.6,345.9,5.9,-21.6
66,2026-09-27T12:00Z,66.69,-17.65,987.5,206.9,-141.5,16.0,1.04,,169.5,-123.0,30.5,4.5,10.9,318.3,4.4,26.1
78,2026-09-28T00:00Z,68.20,-15.42,988.7,261.8,-79.4,,1.32,,177.4,-44.5,35.1,3.2,35.3,24.5,2.7,27.5
84,2026-09-28T06:00Z,67.47,-16.22,990.9,32.5,-82.1,12.3,,,-4.8,-62.1,-34.0,5.9,177.1,76.4,5.3,-26.2
90,2026-09-28T12:00Z,67.03,-15.26,995.6,-49.1,-144.3,22.8,,,-35.2,-129.7,1.0,5.1,104.1,54.5,10.0,3.0
96,2026-09-28T18:00Z,67.22,-13.66,999.9,-64.9,-166.6,27.5,,,-57.0,-165.3,22.6,6.4,71.5,52.5,14.3,19.3
102,2026-09-29T00:00Z,67.43,-12.15,1005.4,-113.5,-119.7,30.4,,,-129.3,-148.4,29.6,7.6,61.3,54.1,18.7,25.8
108,2026-09-29T06:00Z,67.95,-10.17,1010.2,-144.2,-192.5,38.8,,,-208.0,-220.5,35.8,8.8,39.9,57.2,25.2,33.7
114,2026-09-29T12:00Z,68.78,-9.12,1015.3,-168.9,-274.3,48.5,,,-240.7,-296.1,-50.2,12.6,243.6,56.1,30.1,-48.8
126,2026-09-30T00:00Z,66.28,-18.84,1003.2,90.0,-326.4,29.5,,,78.7,-257.4,-50.9,30.4,213.3,355.0,28.9,-51.2
138,2026-09-30T12:00Z,58.63,-24.17,955.0,114.6,-139.1,28.9,0.71,3,3.4,-168.7,17.4,40.3,197.8,293.4,6.3,19.6
